id,SetPointName,point_name,report_header_name,unit,HeaderName,PDF File name
1,SYNGENE_AHU101_MT001,RETURN RH ,RETURN RH ,%,AHU 1 REPORT,FF- AHU 1 REPORT
2,SYNGENE_AHU101_PDT001,PDT,PDT,Pa,AHU 1 REPORT,FF- AHU 1 REPORT
3,SYNGENE_AHU101_TT001,RETURN TEMP,RETURN TEMP,OC,AHU 1 REPORT,FF- AHU 1 REPORT
4,SYNGENE_AHU101_TT001_CW_PID_SP_S,RETURN RH SP,RETURN RH SP,OC,AHU 1 REPORT,FF- AHU 1 REPORT
5,SYNGENE_AHU101_MT001_CW_PID_SP_S,RETURN TEMP SP ,RETURN TEMP SP ,%,AHU 1 REPORT,FF- AHU 1 REPORT
6,SYNGENE_AHU101_VFD_SPD_REF_S,VFD SPEED REF,VFD SPEED REF,Hz,AHU 1 REPORT,FF- AHU 1 REPORT
7,SYNGENE_AHU102_MT001,RETURN RH ,RETURN RH ,%,AHU 2 REPORT,FF- AHU 2 REPORT
8,SYNGENE_AHU102_PDT001,PDT,PDT,Pa,AHU 2 REPORT,FF- AHU 2 REPORT
9,SYNGENE_AHU102_TT001,RETURN TEMP,RETURN TEMP,OC,AHU 2 REPORT,FF- AHU 2 REPORT
10,SYNGENE_AHU102_TT001_CW_PID_SP_S,RETURN RH SP,RETURN RH SP,OC,AHU 2 REPORT,FF- AHU 2 REPORT
11,SYNGENE_AHU102_MT001_CW_PID_SP_S,RETURN TEMP SP ,RETURN TEMP SP ,%,AHU 2 REPORT,FF- AHU 2 REPORT
12,SYNGENE_AHU102_VFD_SPD_REF_S,VFD SPEED REF,VFD SPEED REF,Hz,AHU 2 REPORT,FF- AHU 2 REPORT
13,SYNGENE_AHU103_MT001,RETURN RH ,RETURN RH ,%,AHU 3 REPORT,FF- AHU 3 REPORT
14,SYNGENE_AHU103_PDT001,PDT,PDT,Pa,AHU 3 REPORT,FF- AHU 3 REPORT
15,SYNGENE_AHU103_TT001,RETURN TEMP,RETURN TEMP,OC,AHU 3 REPORT,FF- AHU 3 REPORT
16,SYNGENE_AHU103_TT001_CW_PID_SP_S,RETURN RH SP,RETURN RH SP,OC,AHU 3 REPORT,FF- AHU 3 REPORT
17,SYNGENE_AHU103_MT001_CW_PID_SP_S,RETURN TEMP SP ,RETURN TEMP SP ,%,AHU 3 REPORT,FF- AHU 3 REPORT
18,SYNGENE_AHU103_VFD_SPD_REF_S,VFD SPEED REF,VFD SPEED REF,Hz,AHU 3 REPORT,FF- AHU 3 REPORT
19,SYNGENE_BTU_CHILL_WATERFLOW_1STFLOOR,CHW_VOLUME_FLOW ,CHW_VOLUME_FLOW ,m3/hr,BTU METER REPORT,FF-BTU METER REPORT
